Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years),Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years)
2015,2pe04,8970,12.377,215817,1312,-0.042,-0.023,2015,2pe04,8970,12.377,215817,1312,-0.042,-0.023
2015,2pi00,12321,12.951,289521,1583,-0.061,-0.034,2015,2pi00,12321,12.951,289521,1583,-0.061,-0.034
2015,2pi01,6294,12.607,138965,1034,-0.043,-0.028,2015,2pi01,6294,12.607,138965,1034,-0.043,-0.028
2015,2pi02,5386,12.799,108664,904,-0.050,-0.032,2015,2pi02,5386,12.799,108664,904,-0.050,-0.032
2015,2pi03,6036,12.618,112419,959,-0.046,-0.029,2015,2pi03,6036,12.618,112419,959,-0.046,-0.029
2015,2rn00,3861,12.754,91708,562,-0.031,-0.028,2015,2rn00,3861,12.754,91708,562,-0.031,-0.028
2015,2rn01,3132,12.810,70741,411,-0.037,-0.028,2015,2rn01,3132,12.810,70741,411,-0.037,-0.028
2015,2rn02,11586,12.829,294540,1041,-0.069,-0.021,2015,2rn02,11586,12.829,294540,1041,-0.069,-0.021
2015,2rn03,6798,12.615,159028,922,-0.050,-0.026,2015,2rn03,6798,12.615,159028,922,-0.050,-0.026
2015,2se00,4098,12.602,96849,526,-0.032,-0.020,2015,2se00,4098,12.602,96849,526,-0.032,-0.020
2015,2se01,11195,12.612,275616,1113,-0.050,-0.013,2015,2se01,11195,12.612,275616,1113,-0.050,-0.013
2015,2se02,2353,12.637,53417,332,-0.029,-0.011,2015,2se02,2353,12.637,53417,332,-0.029,-0.011
2015,3df00,19782,12.331,502653,889,-0.051,-0.014,2015,3df00,19782,12.331,502653,889,-0.051,-0.014
2015,3go00,21206,12.454,555998,1557,-0.028,-0.014,2015,3go00,21206,12.454,555998,1557,-0.028,-0.014
2015,3go01,9919,12.309,259102,773,-0.015,-0.001,2015,3go01,9919,12.309,259102,773,-0.015,-0.001
2015,3go02,1898,12.480,37788,202,-0.030,-0.034,2015,3go02,1898,12.480,37788,202,-0.030,-0.034
2015,3go03,2750,12.359,56690,276,-0.058,-0.031,2015,3go03,2750,12.359,56690,276,-0.058,-0.031
2015,3go04,9863,12.246,233632,803,-0.035,-0.011,2015,3go04,9863,12.246,233632,803,-0.035,-0.011
2015,3ms00,7355,12.209,189641,412,-0.047,-0.014,2015,3ms00,7355,12.209,189641,412,-0.047,-0.014
2015,3ms01,3217,12.536,75311,189,-0.044,-0.008,2015,3ms01,3217,12.536,75311,189,-0.044,-0.008
2015,3ms02,2275,12.356,51145,151,-0.061,-0.028,2015,3ms02,2275,12.356,51145,151,-0.061,-0.028
2015,3ms03,7355,12.313,181427,446,-0.030,-0.011,2015,3ms03,7355,12.313,181427,446,-0.030,-0.011
2015,3mt00,8476,12.389,205147,623,-0.036,-0.003,2015,3mt00,8476,12.389,205147,623,-0.036,-0.003
2015,3mt01,3154,12.854,60184,293,-0.001,-0.006,2015,3mt01,3154,12.854,60184,293,-0.001,-0.006
2015,3mt02,9135,12.439,201988,695,-0.022,-0.006,2015,3mt02,9135,12.439,201988,695,-0.022,-0.006
2015,3mt03,3966,12.389,90361,276,-0.018,0.001,2015,3mt03,3966,12.389,90361,276,-0.018,0.001
2015,3mt04,2976,12.502,63441,219,-0.036,-0.016,2015,3mt04,2976,12.502,63441,219,-0.036,-0.016
2015,4es00,14572,12.270,362814,990,-0.066,-0.013,2015,4es00,14572,12.270,362814,990,-0.066,-0.013
2015,4es01,4626,12.110,108565,436,-0.067,-0.018,2015,4es01,4626,12.110,108565,436,-0.067,-0.018
2015,4es02,3221,12.311,72078,514,-0.040,-0.022,2015,4es02,3221,12.311,72078,514,-0.040,-0.022
2015,4es03,4474,12.232,97332,442,-0.060,-0.020,2015,4es03,4474,12.232,97332,442,-0.060,-0.020
2015,4mg00,3966,12.470,92124,350,-0.071,-0.029,2015,4mg00,3966,12.470,92124,350,-0.071,-0.029
2015,4mg01,3057,12.314,73006,277,-0.046,-0.030,2015,4mg01,3057,12.314,73006,277,-0.046,-0.030
2015,4mg02,6364,12.682,144221,796,-0.048,-0.033,2015,4mg02,6364,12.682,144221,796,-0.048,-0.033
2015,4mg03,42014,12.463,1094231,2654,-0.083,-0.029,2015,4mg03,42014,12.463,1094231,2654,-0.083,-0.029
2015,4mg04,3069,12.352,72972,237,-0.059,-0.027,2015,4mg04,3069,12.352,72972,237,-0.059,-0.027
2015,4mg05,14453,12.569,326871,1447,-0.051,-0.031,2015,4mg05,14453,12.569,326871,1447,-0.051,-0.031
2015,4mg06,6486,12.368,158883,507,-0.045,-0.023,2015,4mg06,6486,12.368,158883,507,-0.045,-0.023
2015,4mg07,17161,12.406,410310,1372,-0.048,-0.027,2015,4mg07,17161,12.406,410310,1372,-0.048,-0.027
2015,4mg08,14234,12.209,358316,950,-0.046,-0.017,2015,4mg08,14234,12.209,358316,950,-0.046,-0.017
2015,4mg09,3301,12.632,77474,356,-0.052,-0.032,2015,4mg09,3301,12.632,77474,356,-0.052,-0.032
2015,4mg10,12267,12.412,294092,1147,-0.060,-0.031,2015,4mg10,12267,12.412,294092,1147,-0.060,-0.031
2015,4mg11,15740,12.392,356524,1544,-0.059,-0.029,2015,4mg11,15740,12.392,356524,1544,-0.059,-0.029
2015,4rj00,5950,12.418,143865,452,-0.044,-0.000,2015,4rj00,5950,12.418,143865,452,-0.044,-0.000
2015,4rj01,4090,12.519,82124,448,-0.050,-0.024,2015,4rj01,4090,12.519,82124,448,-0.050,-0.024
2015,4rj02,80500,12.556,2037905,5851,-0.082,-0.027,2015,4rj02,80500,12.556,2037905,5851,-0.082,-0.027
2015,4rj03,2825,12.762,53498,306,-0.060,-0.031,2015,4rj03,2825,12.762,53498,306,-0.060,-0.031
2015,4rj04,7509,12.344,159564,652,-0.095,-0.016,2015,4rj04,7509,12.344,159564,652,-0.095,-0.016
2015,4rj05,7953,12.421,181142,657,-0.075,-0.030,2015,4rj05,7953,12.421,181142,657,-0.075,-0.030
2015,4sp00,4179,12.137,104853,295,-0.067,-0.030,2015,4sp00,4179,12.137,104853,295,-0.067,-0.030
2015,4sp01,5167,12.208,129473,317,-0.089,-0.025,2015,4sp01,5167,12.208,129473,317,-0.089,-0.025
2015,4sp02,3796,12.106,90915,288,-0.065,-0.033,2015,4sp02,3796,12.106,90915,288,-0.065,-0.033
