Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years),Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years)
2015,1ro0100,817,12.078,17689,87,-0.002,-0.003,2015,1ro0100,817,12.078,17689,87,-0.002,-0.003
2015,1ro0101,4983,12.091,125122,375,-0.023,0.006,2015,1ro0101,4983,12.091,125122,375,-0.023,0.006
2015,1rr0000,3361,12.205,78247,291,-0.032,0.007,2015,1rr0000,3361,12.205,78247,291,-0.032,0.007
2015,1rr0001,1061,12.065,15341,227,0.004,0.022,2015,1rr0001,1061,12.065,15341,227,0.004,0.022
2015,1rr0100,548,12.283,10386,75,-0.021,-0.007,2015,1rr0100,548,12.283,10386,75,-0.021,-0.007
2015,1rr0101,552,12.047,10672,76,0.015,-0.007,2015,1rr0101,552,12.047,10672,76,0.015,-0.007
2015,1to0000,2581,12.468,61160,240,-0.046,-0.014,2015,1to0000,2581,12.468,61160,240,-0.046,-0.014
2015,1to0001,2192,12.383,49608,267,-0.015,-0.016,2015,1to0001,2192,12.383,49608,267,-0.015,-0.016
2015,1to0002,1153,12.300,27870,114,-0.033,-0.020,2015,1to0002,1153,12.300,27870,114,-0.033,-0.020
2015,1to0003,1474,12.541,31428,156,0.014,-0.021,2015,1to0003,1474,12.541,31428,156,0.014,-0.021
2015,1to0004,1135,12.335,26315,107,0.015,-0.011,2015,1to0004,1135,12.335,26315,107,0.015,-0.011
2015,1to0100,1309,12.355,27266,180,-0.023,-0.027,2015,1to0100,1309,12.355,27266,180,-0.023,-0.027
2015,1to0101,1020,13.004,19973,122,0.002,-0.008,2015,1to0101,1020,13.004,19973,122,0.002,-0.008
2015,1to0102,2908,12.366,77159,228,-0.003,0.008,2015,1to0102,2908,12.366,77159,228,-0.003,0.008
2015,2al0000,3273,12.493,89922,399,-0.032,-0.021,2015,2al0000,3273,12.493,89922,399,-0.032,-0.021
2015,2al0001,1423,12.611,36886,191,-0.069,-0.042,2015,2al0001,1423,12.611,36886,191,-0.069,-0.042
2015,2al0002,359,12.534,8071,80,-0.029,-0.035,2015,2al0002,359,12.534,8071,80,-0.029,-0.035
2015,2al0100,626,12.539,15639,105,-0.046,-0.021,2015,2al0100,626,12.539,15639,105,-0.046,-0.021
2015,2al0101,7740,12.591,202484,586,-0.075,-0.035,2015,2al0101,7740,12.591,202484,586,-0.075,-0.035
2015,2al0102,2317,12.444,67965,287,-0.052,-0.034,2015,2al0102,2317,12.444,67965,287,-0.052,-0.034
2015,2al0103,995,12.660,26736,118,-0.016,-0.033,2015,2al0103,995,12.660,26736,118,-0.016,-0.033
2015,2al0104,2146,12.582,60558,189,-0.052,-0.040,2015,2al0104,2146,12.582,60558,189,-0.052,-0.040
2015,2al0105,1233,12.692,33932,165,-0.057,-0.039,2015,2al0105,1233,12.692,33932,165,-0.057,-0.039
2015,2al0200,680,12.428,19282,60,-0.024,-0.022,2015,2al0200,680,12.428,19282,60,-0.024,-0.022
2015,2al0201,799,12.717,21145,113,-0.009,-0.031,2015,2al0201,799,12.717,21145,113,-0.009,-0.031
2015,2al0202,1697,12.737,43182,238,-0.044,-0.028,2015,2al0202,1697,12.737,43182,238,-0.044,-0.028
2015,2al0203,872,12.413,20891,164,-0.041,-0.034,2015,2al0203,872,12.413,20891,164,-0.041,-0.034
2015,2ba0000,7915,12.931,183346,981,-0.057,-0.030,2015,2ba0000,7915,12.931,183346,981,-0.057,-0.030
2015,2ba0001,3570,12.575,79621,518,-0.021,-0.017,2015,2ba0001,3570,12.575,79621,518,-0.021,-0.017
2015,2ba0002,2261,12.562,51688,371,-0.048,-0.035,2015,2ba0002,2261,12.562,51688,371,-0.048,-0.035
2015,2ba0003,2984,12.637,64915,431,-0.027,-0.035,2015,2ba0003,2984,12.637,64915,431,-0.027,-0.035
2015,2ba0004,2772,12.739,59439,405,-0.023,-0.029,2015,2ba0004,2772,12.739,59439,405,-0.023,-0.029
2015,2ba0100,2010,12.800,35976,437,-0.046,-0.037,2015,2ba0100,2010,12.800,35976,437,-0.046,-0.037
2015,2ba0101,2130,12.990,44449,307,-0.037,-0.033,2015,2ba0101,2130,12.990,44449,307,-0.037,-0.033
2015,2ba0102,3235,12.612,70401,402,-0.036,-0.029,2015,2ba0102,3235,12.612,70401,402,-0.036,-0.029
2015,2ba0103,1789,13.060,39484,277,-0.038,-0.036,2015,2ba0103,1789,13.060,39484,277,-0.038,-0.036
2015,2ba0104,4429,12.778,99999,682,-0.042,-0.036,2015,2ba0104,4429,12.778,99999,682,-0.042,-0.036
2015,2ba0105,965,12.817,16391,209,-0.068,-0.035,2015,2ba0105,965,12.817,16391,209,-0.068,-0.035
2015,2ba0106,2700,12.843,55371,400,-0.022,-0.025,2015,2ba0106,2700,12.843,55371,400,-0.022,-0.025
2015,2ba0107,5490,12.696,125863,789,-0.047,-0.024,2015,2ba0107,5490,12.696,125863,789,-0.047,-0.024
2015,2ba0200,2979,12.429,66610,370,-0.002,0.015,2015,2ba0200,2979,12.429,66610,370,-0.002,0.015
2015,2ba0201,1326,12.786,23949,260,-0.058,-0.028,2015,2ba0201,1326,12.786,23949,260,-0.058,-0.028
2015,2ba0202,1862,12.937,38378,255,-0.034,-0.033,2015,2ba0202,1862,12.937,38378,255,-0.034,-0.033
2015,2ba0300,1883,12.656,44734,224,-0.011,-0.020,2015,2ba0300,1883,12.656,44734,224,-0.011,-0.020
2015,2ba0301,20769,13.214,525157,1657,-0.068,-0.019,2015,2ba0301,20769,13.214,525157,1657,-0.068,-0.019
2015,2ba0302,4769,12.842,105681,731,-0.042,-0.030,2015,2ba0302,4769,12.842,105681,731,-0.042,-0.030
2015,2ba0400,3049,12.742,64742,449,-0.043,-0.028,2015,2ba0400,3049,12.742,64742,449,-0.043,-0.028
2015,2ba0401,1183,13.242,27021,163,-0.031,-0.028,2015,2ba0401,1183,13.242,27021,163,-0.031,-0.028
2015,2ba0402,2802,13.037,66231,441,-0.027,-0.038,2015,2ba0402,2802,13.037,66231,441,-0.027,-0.038
2015,2ba0403,934,12.629,20321,239,-0.047,-0.031,2015,2ba0403,934,12.629,20321,239,-0.047,-0.031
2015,2ba0404,2886,12.817,63667,392,-0.042,-0.034,2015,2ba0404,2886,12.817,63667,392,-0.042,-0.034
2015,2ba0405,4033,12.768,84204,626,-0.023,-0.035,2015,2ba0405,4033,12.768,84204,626,-0.023,-0.035
2015,2ba0500,8380,12.694,186404,1260,-0.049,-0.042,2015,2ba0500,8380,12.694,186404,1260,-0.049,-0.042
2015,2ba0501,6880,12.482,156779,727,-0.027,-0.014,2015,2ba0501,6880,12.482,156779,727,-0.027,-0.014
2015,2ba0502,2653,12.694,57313,607,-0.037,-0.035,2015,2ba0502,2653,12.694,57313,607,-0.037,-0.035
2015,2ba0600,2027,12.715,42461,370,-0.032,-0.030,2015,2ba0600,2027,12.715,42461,370,-0.032,-0.030
2015,2ba0601,2145,12.851,42227,262,-0.033,-0.014,2015,2ba0601,2145,12.851,42227,262,-0.033,-0.014
2015,2ba0602,4721,12.757,101394,858,-0.029,-0.010,2015,2ba0602,4721,12.757,101394,858,-0.029,-0.010
