Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years),Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years)
2015,1am010001,337,12.837,5021,96,-0.002,-0.010,2015,1am010001,337,12.837,5021,96,-0.002,-0.010
2015,1am010100,225,12.870,4079,50,-0.059,-0.026,2015,1am010100,225,12.870,4079,50,-0.059,-0.026
2015,1am010101,153,12.655,3346,22,-0.038,0.026,2015,1am010101,153,12.655,3346,22,-0.038,0.026
2015,1am010102,202,13.242,3219,38,0.032,0.011,2015,1am010102,202,13.242,3219,38,0.032,0.011
2015,1am010103,817,12.633,13770,244,-0.038,0.001,2015,1am010103,817,12.633,13770,244,-0.038,0.001
2015,1am020000,161,13.349,3025,26,-0.016,0.010,2015,1am020000,161,13.349,3025,26,-0.016,0.010
2015,1am020001,208,12.946,4262,68,-0.123,-0.004,2015,1am020001,208,12.946,4262,68,-0.123,-0.004
2015,1am020002,426,12.447,10516,60,0.020,-0.016,2015,1am020002,426,12.447,10516,60,0.020,-0.016
2015,1am020003,366,13.046,6766,56,-0.000,0.012,2015,1am020003,366,13.046,6766,56,-0.000,0.012
2015,1am020004,337,13.529,6803,96,0.024,0.019,2015,1am020004,337,13.529,6803,96,0.024,0.019
2015,1am020005,319,12.734,7124,37,0.064,0.015,2015,1am020005,319,12.734,7124,37,0.064,0.015
2015,1am020006,440,13.786,9567,78,-0.035,0.014,2015,1am020006,440,13.786,9567,78,-0.035,0.014
2015,1am020007,650,13.153,16835,62,-0.024,0.024,2015,1am020007,650,13.153,16835,62,-0.024,0.024
2015,1am020008,223,13.042,4438,52,-0.045,0.013,2015,1am020008,223,13.042,4438,52,-0.045,0.013
2015,1am020100,294,11.923,7163,58,-0.055,-0.012,2015,1am020100,294,11.923,7163,58,-0.055,-0.012
2015,1am020101,401,12.540,9358,44,-0.015,-0.002,2015,1am020101,401,12.540,9358,44,-0.015,-0.002
2015,1am020102,173,12.585,4356,43,-0.036,0.007,2015,1am020102,173,12.585,4356,43,-0.036,0.007
2015,1am020103,186,12.015,3531,59,-0.085,-0.002,2015,1am020103,186,12.015,3531,59,-0.085,-0.002
2015,1am020104,196,12.306,4167,45,-0.060,-0.009,2015,1am020104,196,12.306,4167,45,-0.060,-0.009
2015,1am020105,125,13.206,2912,40,-0.064,-0.013,2015,1am020105,125,13.206,2912,40,-0.064,-0.013
2015,1am020106,174,13.872,3381,33,-0.088,-0.012,2015,1am020106,174,13.872,3381,33,-0.088,-0.012
2015,1am030000,471,12.639,8308,111,-0.059,-0.013,2015,1am030000,471,12.639,8308,111,-0.059,-0.013
